Feature,Importance
concave points_worst,0.19647047041647558
area_worst,0.1730168015233303
concave points_mean,0.14068492986018835
area_se,0.12816378556748526
concavity_worst,0.0807355575865995
compactness_mean,0.050971030649892675
compactness_worst,0.03907104145543405
texture_worst,0.02787370599889021
texture_mean,0.023121838659036636
symmetry_worst,0.019891416995998012
concave points_se,0.016348697286525642
smoothness_worst,0.01530410503546689
compactness_se,0.012948189097282318
fractal_dimension_se,0.012140167161223021
concavity_se,0.01105399934546271
symmetry_se,0.00907199422816653
smoothness_mean,0.008396303190450446
fractal_dimension_worst,0.008350802986854488
texture_se,0.007652140110667269
fractal_dimension_mean,0.007455771224090699
smoothness_se,0.00727551802763946
symmetry_mean,0.0040017335928398895
